batch_order,filename,scene_group,selection_score,selection_reason,detection_count_low,detection_count_standard,confidence_mean,confidence_median,low_confidence_fraction,small_face_fraction,minimum_box_area_fraction,crowding_iou_fraction,ood_score,min_phash_distance_to_accepted,brightness_mean,contrast_std,blur_laplacian_variance,dark_fraction,bright_fraction,phash_hex,sha256
1,20260729_102201.jpg,scene-0022,0.7734375,dusuk_guven;kucuk_uzak_yuzler;aykiri_aydinlatma_netlik_veya_kadraj,22,7,0.417523592710495,0.37676966190338135,0.6818181818181818,1.0,0.002336667850613594,0.047619047619047616,1.5043109303211673,22,70.73913701375325,57.706335238692674,687.764957362655,0.13076655069986978,0.007445017496744792,24dc349ec66743a3,dd18f857116a77b817b5b86729e06bbf448ca46d43b47deb8b7df59f15a6349a
2,20260729_103803.jpg,scene-0038,0.7570089285714285,dusuk_guven;aykiri_aydinlatma_netlik_veya_kadraj;mevcut_etiketlerden_gorsel_olarak_uzak,55,27,0.4530141353607178,0.37555813789367676,0.509090909090909,0.0,0.01016449648886919,0.022792022792022793,1.0166212161483743,24,81.28712336222331,56.11172880894592,115.3104578659598,0.020056406656901043,0.009385426839192709,6d821d8f4cd91669,b3bba87cf1a901020575329d0861e5fbb0567826f54a457b00f3d34307fd9abc
3,20260729_102857.jpg,scene-0034,0.7330803571428571,dusuk_guven;kucuk_uzak_yuzler;ortusen_yuzler,16,7,0.39416489005088806,0.3175659477710724,0.5625,0.2857142857142857,0.0028781492728739977,0.14285714285714285,0.68028539105237,24,97.7293332417806,51.17348829810138,295.2479432427984,0.018870035807291668,0.02802276611328125,69a678f6eb9141c0,52aa5110124768c5df1252a8e34c33df5c74f2c808a00d69dd9ed11b7d7ecfed
4,20260729_103823.jpg,scene-0039,0.7134821428571428,dusuk_guven;aykiri_aydinlatma_netlik_veya_kadraj,79,28,0.5305355191230774,0.5110805034637451,0.6455696202531646,0.0,0.011905570514500141,0.021164021164021163,0.8899007493266904,20,81.5690066019694,56.29243700714859,2008.2730382274215,0.029942830403645832,0.015612284342447916,1271ad7700d79857,7803c57708ede65a8de55c7ada9ccd93a6aad2bb7ed46c30e193c4c302a93208
5,20260729_095553.jpg,scene-0017,0.707857142857143,dusuk_guven;kucuk_uzak_yuzler;mevcut_etiketlerden_gorsel_olarak_uzak,54,23,0.47461986541748047,0.40047487616539,0.5740740740740741,0.43478260869565216,0.0008687671506777406,0.011857707509881422,0.6192523081154804,24,105.11769994099934,56.12003305389754,692.3173939527478,0.00467681884765625,0.048428853352864586,2c4436aefc4481fb,1778272024cea115ee56dd1470fe4967821bd04e76677a800d29ea90efdab14c
6,20260729_103556.jpg,scene-0037,0.7078571428571429,dusuk_guven;kucuk_uzak_yuzler;aykiri_aydinlatma_netlik_veya_kadraj,3,0,0.0,0.0,1.0,1.0,0.0,0.0,1.4376770969275383,26,80.88014094034831,54.97869001254646,487.5833672017846,0.11686960856119792,0.006032307942708333,68b6c8f8b1b32cc8,a1d3b1de4ed34543de1eaac8f744ae9948fc5f5852de9812b023f4c2376900fd
7,20260729_095558.jpg,scene-0018,0.6882589285714286,dusuk_guven;kucuk_uzak_yuzler;mevcut_etiketlerden_gorsel_olarak_uzak,41,14,0.4325580894947052,0.4080866575241089,0.6585365853658537,0.9285714285714286,0.0010499206837266684,0.01098901098901099,0.4969168255563144,24,114.5288200378418,50.737600516109346,883.3677597787319,0.001674652099609375,0.017027537027994793,2294de64a9ab6399,c1cd3c2959d0a8e9665f43f6e283372aa862084de43480272b3dc51cfb7bccb5
8,20260729_095501.jpg,scene-0015,0.6640178571428572,dusuk_guven;kucuk_uzak_yuzler,42,16,0.4420718252658844,0.3799028992652893,0.6190476190476191,1.0,0.0007408694364130497,0.016666666666666666,0.637724927888428,18,105.6058972676595,46.024997287643814,1189.7609966002947,0.0053253173828125,0.025727589925130207,68eb0a12e2fe9c8c,62bf207ecf4c129fd29e19530b9048f92733e379ed13dfc600a44de8c618ebe7
9,20260729_103856.jpg,scene-0040,0.6564285714285715,kalabalik_sahne;kucuk_uzak_yuzler;mevcut_etiketlerden_gorsel_olarak_uzak,246,135,0.6617563962936401,0.6649580597877502,0.45121951219512196,0.37777777777777777,0.0012638452462852001,0.004754007739082366,0.8604118939143693,22,90.88688278198242,60.80504926291752,1853.0808079889393,0.03209686279296875,0.010091145833333334,342a312a69dbc9d9,f5f212cbc59e62e016ef8233a2e43881d6918ba15f75393eb2f200b1e12e960f
10,20260729_103540.jpg,scene-0036,0.6493303571428571,dusuk_guven;ortusen_yuzler;aykiri_aydinlatma_netlik_veya_kadraj,11,3,0.4847027063369751,0.494586706161499,0.7272727272727273,0.0,0.005649047903716564,0.3333333333333333,1.046970619558381,20,99.7660649617513,54.9988145184378,48.94003381237983,0.012658437093098959,0.00213623046875,1dc715b9a5475898,b7c9c196c5fe046f0e9a700b5d99db1b243af7dcfdf62ab71ba5df0d19ad84be
11,20260729_102225.jpg,scene-0023,0.6473214285714286,kucuk_uzak_yuzler;aykiri_aydinlatma_netlik_veya_kadraj,14,7,0.5919128060340881,0.6575064659118652,0.5,0.2857142857142857,0.0011909202439710498,0.047619047619047616,1.1233933207030145,22,79.13031514485677,54.105120064650585,725.2640316093634,0.07245508829752605,0.008014678955078125,407062dcf868778f,c9b67bc362ad94625ad6969ddbd10a179a0de01947c3e53dc06f95c184f8c0da
12,20260729_102803.jpg,scene-0032,0.6378571428571429,dusuk_guven;kucuk_uzak_yuzler;mevcut_etiketlerden_gorsel_olarak_uzak,12,3,0.4333793818950653,0.4380618631839752,0.75,0.3333333333333333,0.0018025420140475035,0.0,0.8169556495672066,24,94.24644343058269,54.81408707148048,322.0291022770476,0.023862202962239582,0.038035074869791664,70cef4d2eff10180,d899a70436a0dcf4ff8bc840352189eb992052a9aeeab904bd0d26373b7d33b2
13,20260729_100056.jpg,scene-0021,0.6357142857142858,dusuk_guven;kucuk_uzak_yuzler;aykiri_aydinlatma_netlik_veya_kadraj,18,7,0.561191737651825,0.5960270166397095,0.6111111111111112,1.0,0.0008942349231801927,0.0,0.9737396631654541,22,142.84781138102213,50.5862559960331,1094.3395562766943,0.0,0.005708058675130208,4e69b19612c96d2e,3df35400ee0ebf598de1f0f042c78f23aa407cc9342a320a7427da227bdfa5c9
14,20260729_102830.jpg,scene-0033,0.6345535714285715,dusuk_guven;kucuk_uzak_yuzler;aykiri_aydinlatma_netlik_veya_kadraj,18,7,0.5199712514877319,0.3703894019126892,0.6111111111111112,0.14285714285714285,0.0015436656540259719,0.047619047619047616,0.9205981492485669,14,93.41316604614258,59.100547634327675,246.28298264608506,0.004770914713541667,0.04273859659830729,26a4acaca5a725ab,19b6fb4141c15788ac89a0a3670195a888aa91cc4e3c7a2e2f78c2472bbe8a84
15,20260729_092402.jpg,scene-0001,0.6229464285714287,dusuk_guven;kucuk_uzak_yuzler;aykiri_aydinlatma_netlik_veya_kadraj,20,8,0.494159996509552,0.5033599734306335,0.6,0.25,0.0017515196232125163,0.0,1.4854202452349359,20,96.12934875488281,61.19946124485106,322.2275871485212,0.06447474161783855,0.040339152018229164,1c8eac0d7333cc8d,94af258f02c72d44dadef9ba79267f1b7d0ed89b596ab5db5cf64d81c1600828
16,20260729_102615.jpg,scene-0030,0.6201785714285715,dusuk_guven;ortusen_yuzler;aykiri_aydinlatma_netlik_veya_kadraj,10,4,0.37784814834594727,0.36779820919036865,0.6,0.0,0.04912928119301796,0.5,1.1331785995237242,20,94.88483174641927,45.653906637995426,68.86408802159228,0.0,0.0156097412109375,308d5930a4acfc9f,493597e9b52d8036572c15c4376d3a1ea15c0d64741e6a74bc7a5bb7dcef6c6c
17,20260729_092409.jpg,scene-0002,0.6063839285714286,dusuk_guven;aykiri_aydinlatma_netlik_veya_kadraj,37,12,0.5970771908760071,0.7271019220352173,0.6756756756756757,0.0,0.003509954549372196,0.015151515151515152,1.6765312694657366,22,86.38357162475586,62.616626857088015,754.0317330335319,0.10392379760742188,0.0400390625,3cd1a21c665e7591,901a223f24625968039270035d0b47605da5564b470680299be55dda170be7ef
