batch_order,filename,scene_group,selection_score,workload_adjusted_score,selection_reason,detection_count_low,detection_count_standard,phash_hex,sha256
1,20260729_102201.jpg,scene-0022,0.7734375,0.7734375,dusuk_guven;kucuk_uzak_yuzler;aykiri_aydinlatma_netlik_veya_kadraj,22,7,24dc349ec66743a3,dd18f857116a77b817b5b86729e06bbf448ca46d43b47deb8b7df59f15a6349a
2,20260729_103803.jpg,scene-0038,0.7570089285714285,0.7570089285714285,dusuk_guven;aykiri_aydinlatma_netlik_veya_kadraj;mevcut_etiketlerden_gorsel_olarak_uzak,55,27,6d821d8f4cd91669,b3bba87cf1a901020575329d0861e5fbb0567826f54a457b00f3d34307fd9abc
3,20260729_102857.jpg,scene-0034,0.7330803571428571,0.7330803571428571,dusuk_guven;kucuk_uzak_yuzler;ortusen_yuzler,16,7,69a678f6eb9141c0,52aa5110124768c5df1252a8e34c33df5c74f2c808a00d69dd9ed11b7d7ecfed
4,20260729_103823.jpg,scene-0039,0.7134821428571428,0.7134821428571428,dusuk_guven;aykiri_aydinlatma_netlik_veya_kadraj,79,28,1271ad7700d79857,7803c57708ede65a8de55c7ada9ccd93a6aad2bb7ed46c30e193c4c302a93208
5,20260729_095553.jpg,scene-0017,0.707857142857143,0.707857142857143,dusuk_guven;kucuk_uzak_yuzler;mevcut_etiketlerden_gorsel_olarak_uzak,54,23,2c4436aefc4481fb,1778272024cea115ee56dd1470fe4967821bd04e76677a800d29ea90efdab14c
6,20260729_103556.jpg,scene-0037,0.7078571428571429,0.7078571428571429,dusuk_guven;kucuk_uzak_yuzler;aykiri_aydinlatma_netlik_veya_kadraj,3,0,68b6c8f8b1b32cc8,a1d3b1de4ed34543de1eaac8f744ae9948fc5f5852de9812b023f4c2376900fd
7,20260729_095558.jpg,scene-0018,0.6882589285714286,0.6882589285714286,dusuk_guven;kucuk_uzak_yuzler;mevcut_etiketlerden_gorsel_olarak_uzak,41,14,2294de64a9ab6399,c1cd3c2959d0a8e9665f43f6e283372aa862084de43480272b3dc51cfb7bccb5
8,20260729_095501.jpg,scene-0015,0.6640178571428572,0.6640178571428572,dusuk_guven;kucuk_uzak_yuzler,42,16,68eb0a12e2fe9c8c,62bf207ecf4c129fd29e19530b9048f92733e379ed13dfc600a44de8c618ebe7
9,20260729_103540.jpg,scene-0036,0.6493303571428571,0.6493303571428571,dusuk_guven;ortusen_yuzler;aykiri_aydinlatma_netlik_veya_kadraj,11,3,1dc715b9a5475898,b7c9c196c5fe046f0e9a700b5d99db1b243af7dcfdf62ab71ba5df0d19ad84be
10,20260729_102225.jpg,scene-0023,0.6473214285714286,0.6473214285714286,kucuk_uzak_yuzler;aykiri_aydinlatma_netlik_veya_kadraj,14,7,407062dcf868778f,c9b67bc362ad94625ad6969ddbd10a179a0de01947c3e53dc06f95c184f8c0da
11,20260729_102803.jpg,scene-0032,0.6378571428571429,0.6378571428571429,dusuk_guven;kucuk_uzak_yuzler;mevcut_etiketlerden_gorsel_olarak_uzak,12,3,70cef4d2eff10180,d899a70436a0dcf4ff8bc840352189eb992052a9aeeab904bd0d26373b7d33b2
12,20260729_100056.jpg,scene-0021,0.6357142857142858,0.6357142857142858,dusuk_guven;kucuk_uzak_yuzler;aykiri_aydinlatma_netlik_veya_kadraj,18,7,4e69b19612c96d2e,3df35400ee0ebf598de1f0f042c78f23aa407cc9342a320a7427da227bdfa5c9
13,20260729_102830.jpg,scene-0033,0.6345535714285715,0.6345535714285715,dusuk_guven;kucuk_uzak_yuzler;aykiri_aydinlatma_netlik_veya_kadraj,18,7,26a4acaca5a725ab,19b6fb4141c15788ac89a0a3670195a888aa91cc4e3c7a2e2f78c2472bbe8a84
14,20260729_092402.jpg,scene-0001,0.6229464285714287,0.6229464285714287,dusuk_guven;kucuk_uzak_yuzler;aykiri_aydinlatma_netlik_veya_kadraj,20,8,1c8eac0d7333cc8d,94af258f02c72d44dadef9ba79267f1b7d0ed89b596ab5db5cf64d81c1600828
15,20260729_102615.jpg,scene-0030,0.6201785714285715,0.6201785714285715,dusuk_guven;ortusen_yuzler;aykiri_aydinlatma_netlik_veya_kadraj,10,4,308d5930a4acfc9f,493597e9b52d8036572c15c4376d3a1ea15c0d64741e6a74bc7a5bb7dcef6c6c
16,20260729_092409.jpg,scene-0002,0.6063839285714286,0.6063839285714286,dusuk_guven;aykiri_aydinlatma_netlik_veya_kadraj,37,12,3cd1a21c665e7591,901a223f24625968039270035d0b47605da5564b470680299be55dda170be7ef
17,20260729_095337(0).jpg,scene-0014,0.5996428571428571,0.5996428571428571,dusuk_guven;ortusen_yuzler;mevcut_etiketlerden_gorsel_olarak_uzak,20,10,360e3af2018a7fa5,359a66c76bb38dd6a02a35fa6a755c193a280b9b04a32ccf746b5e46e0c94d52
18,20260729_102620.jpg,scene-0031,0.5959821428571429,0.5959821428571429,kucuk_uzak_yuzler;ortusen_yuzler,20,10,1e60a252c8b437ef,d232bbd70bf4ca070fb94740449feb97453ba46aa5ebead8bc6aebfc54a38500
19,20260729_095125.jpg,scene-0011,0.5945982142857142,0.5945982142857142,kucuk_uzak_yuzler;aykiri_aydinlatma_netlik_veya_kadraj;mevcut_etiketlerden_gorsel_olarak_uzak,34,22,390cb4d7e6384699,40d3ee645207988fccdfa505785702c1bacfa5b6de64131e9b41dc48baee4623
20,20260729_095507.jpg,scene-0016,0.5775892857142857,0.5775892857142857,kucuk_uzak_yuzler,61,32,63661a1aa2a67cdc,eb8e55c0263043ad80370a687a6020ee0378fcdcf881ac00423a1666b96ecf45
21,20260729_095156.jpg,scene-0012,0.5666071428571429,0.5616071428571429,kalabalik_sahne;aykiri_aydinlatma_netlik_veya_kadraj,67,42,2e5585ea6ad4898b,e85bf1bc0ff97d08d4bad463efdd9435c88d2b8853dd79a7c7bee9eac93b5a2d
