epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,33.4861,0.87061,2.81793,4.51863,0.00377,5.84386,0.00033,0.00676,0,0,0.00233,0.0473,0.00011,2e-05,1.09463,2.46226,4.25359,0.00451,0,0.000318841,0.000318841,0.0684348
2,66.5408,0.87818,2.96862,4.26627,0.00415,5.90831,0.00033,0.00676,0,0,0.00167,0.03378,8e-05,2e-05,1.10826,2.44922,4.24484,0.00458,0,0.000652015,0.000652015,0.0354346
3,99.6296,0.99919,2.041,4.14386,0.00535,4.62116,0.00667,0.13514,0.00397,0.00111,0.008,0.16216,0.00604,0.00152,1.30074,2.28919,4.00139,0.00533,0,0.000984545,0.000984545,0.00243382
4,131.153,1.02843,1.48621,3.79279,0.00519,3.93536,0.011,0.22297,0.01961,0.00478,0.018,0.36486,0.04818,0.01476,1.21811,2.22129,3.83763,0.00481,0,0.000997803,0.000997803,0.000997803
5,163.719,1.0574,1.18697,3.64546,0.00519,3.1033,0.02967,0.60135,0.16403,0.07464,0.03,0.60811,0.17621,0.09589,1.05113,2.77588,3.47854,0.00414,0,0.000996097,0.000996097,0.000996097
6,196.007,0.90123,1.70213,3.74654,0.00495,3.11975,0.02967,0.60135,0.16403,0.07464,0.03,0.60811,0.17621,0.09589,1.05113,2.77588,3.47854,0.00414,0,0.000993906,0.000993906,0.000993906
7,227.627,0.8503,1.42788,3.19254,0.00392,2.56583,0.48748,0.41892,0.36899,0.24021,0.48894,0.42018,0.36941,0.22785,1.02262,2.14284,3.14615,0.00402,0,0.000991232,0.000991232,0.000991232
8,260.881,0.8564,1.10441,3.26382,0.00411,2.58534,0.55476,0.29054,0.36869,0.24293,0.56766,0.2973,0.36937,0.23165,1.1072,2.42638,2.95294,0.00441,0,0.000988079,0.000988079,0.000988079
9,294.991,0.87981,1.13619,2.91407,0.00407,2.07264,0.55476,0.29054,0.36869,0.24293,0.56766,0.2973,0.36937,0.23165,1.1072,2.42638,2.95294,0.00441,0,0.000984449,0.000984449,0.000984449
10,325.853,0.7724,0.9334,2.76635,0.00372,1.92901,0.51928,0.49324,0.43883,0.31884,0.51928,0.49324,0.43657,0.30922,1.0381,2.10863,2.54706,0.00423,0,0.000980345,0.000980345,0.000980345
11,354.656,0.7691,0.93745,2.91069,0.00387,1.74214,0.45844,0.54054,0.43834,0.33041,0.45844,0.54054,0.43733,0.32931,0.99908,1.9885,2.35918,0.00403,0,0.000975773,0.000975773,0.000975773
