epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,54.4071,1.37699,1.06426,1.61359,0.00576,0.83525,0.72551,0.43243,0.54746,0.38675,0.7381,0.43243,0.5322,0.35666,1.46956,5.7252,2.09073,0.0063,0,0.0001625,0.0001625,0.0676625
2,106.742,1.19956,1.10058,1.40256,0.00551,0.75655,0.73173,0.5473,0.60162,0.443,0.73173,0.5473,0.5924,0.44764,1.181,2.97306,1.70401,0.00517,0,0.000329041,0.000329041,0.0344957
3,161.103,1.09227,0.94545,1.26946,0.0052,0.72338,0.79485,0.57593,0.67228,0.4846,0.79485,0.57593,0.67156,0.51685,1.14426,1.83184,1.53863,0.00497,0,0.000495077,0.000495077,0.00132841
4,214.802,0.99254,0.89884,1.09924,0.00463,0.85737,0.72809,0.61515,0.69371,0.49479,0.72809,0.61515,0.70057,0.51763,1.15505,1.63066,1.45596,0.00496,0,0.000498284,0.000498284,0.000498284
5,268.297,0.95752,0.90452,1.14568,0.00466,0.61115,0.78178,0.60516,0.68456,0.48987,0.78178,0.60516,0.68852,0.51465,1.16331,1.62663,1.42217,0.00505,0,0.000496953,0.000496953,0.000496953
6,321.28,0.90914,0.93206,1.2135,0.00438,0.68973,0.7457,0.59439,0.69336,0.52072,0.7457,0.59439,0.69791,0.52823,1.06968,1.62432,1.3388,0.00462,0,0.000495244,0.000495244,0.000495244
7,375.379,0.83888,0.89814,1.13249,0.00349,0.58716,0.76666,0.60135,0.69723,0.53803,0.76666,0.60135,0.70638,0.55085,1.03096,1.5521,1.29363,0.00443,0,0.000493162,0.000493162,0.000493162
8,428.242,0.80987,0.83361,1.05139,0.00382,0.54,0.83857,0.58108,0.7044,0.52132,0.83857,0.58108,0.71498,0.56681,1.09756,1.3367,1.2844,0.00465,0,0.000490708,0.000490708,0.000490708
9,480.753,0.86791,0.8488,1.12498,0.00416,0.588,0.78914,0.58784,0.70646,0.52903,0.78914,0.58784,0.71473,0.56576,1.08208,1.30869,1.31258,0.00452,0,0.000487886,0.000487886,0.000487886
10,533.469,0.84064,0.81352,1.08941,0.00397,0.54936,0.7522,0.61533,0.72544,0.56339,0.7522,0.61533,0.73465,0.57578,1.07398,1.25264,1.20688,0.00448,0,0.000484702,0.000484702,0.000484702
11,586.405,0.85607,0.85736,1.06024,0.00369,0.61651,0.77578,0.64189,0.74103,0.58019,0.77578,0.64189,0.74557,0.57664,1.02904,1.24826,1.14349,0.00425,0,0.00048116,0.00048116,0.00048116
12,638.201,0.81491,0.80091,1.05585,0.00369,0.47355,0.74482,0.63111,0.72695,0.56372,0.7965,0.62162,0.73906,0.55529,1.02876,1.20108,1.22438,0.0042,0,0.000477265,0.000477265,0.000477265
13,689.914,0.85058,0.76363,1.09436,0.00477,0.48597,0.74287,0.62467,0.71677,0.56557,0.7505,0.63006,0.7262,0.54961,1.00217,1.26156,1.26391,0.00413,0,0.000473024,0.000473024,0.000473024
14,741.991,0.7827,0.81372,0.97417,0.00305,0.51495,0.7236,0.63514,0.72733,0.57434,0.73594,0.64189,0.73987,0.56216,0.92927,1.22908,1.1988,0.00387,0,0.000468443,0.000468443,0.000468443
15,794.208,0.69505,0.7506,0.9557,0.00321,0.49987,0.79324,0.59623,0.7355,0.59388,0.76281,0.63514,0.74379,0.5881,0.88018,1.12935,1.16966,0.00369,0,0.000463528,0.000463528,0.000463528
16,846.38,0.65236,0.75441,0.9274,0.0031,0.41205,0.83011,0.6603,0.7646,0.61743,0.83011,0.6603,0.77708,0.63201,0.86672,1.07733,1.08431,0.00344,0,0.000458289,0.000458289,0.000458289
17,899.156,0.6757,0.75506,0.96841,0.00283,0.45881,0.8294,0.65699,0.77463,0.63068,0.8294,0.65699,0.78686,0.64954,0.86728,1.07806,1.04829,0.0034,0,0.000452732,0.000452732,0.000452732
18,951.102,0.64737,0.69761,0.88281,0.00322,0.54078,0.79536,0.68919,0.78341,0.64148,0.79536,0.68919,0.79373,0.65469,0.83862,1.0377,1.02433,0.00327,0,0.000446866,0.000446866,0.000446866
