batch_order,filename,scene_group,scene_group_size,selection_reason,width,height,brightness_mean,blur_laplacian_variance
1,20260729_092357.jpg,scene-0001,6,Her etiketsiz sahne grubundan bir temsilci,3000,4000,89.99550120035808,506.5660845934944
2,20260729_092409.jpg,scene-0002,1,Her etiketsiz sahne grubundan bir temsilci,3000,4000,86.38357162475586,754.0317330335319
3,20260729_092509.jpg,scene-0004,2,Her etiketsiz sahne grubundan bir temsilci,3000,4000,96.16864776611328,1807.9661349985354
4,20260729_092524.jpg,scene-0006,2,Her etiketsiz sahne grubundan bir temsilci,6120,8160,96.29370371500652,791.9120916381099
5,20260729_092528.jpg,scene-0007,1,Her etiketsiz sahne grubundan bir temsilci,6120,8160,97.21720377604167,1016.0665420527004
6,20260729_092532.jpg,scene-0008,1,Her etiketsiz sahne grubundan bir temsilci,6120,8160,103.84767023722331,213.46441363158928
7,20260729_095205.jpg,scene-0012,20,Her etiketsiz sahne grubundan bir temsilci,3000,4000,106.23617299397786,667.0570126759256
8,20260729_095501.jpg,scene-0015,1,Her etiketsiz sahne grubundan bir temsilci,3000,4000,105.6058972676595,1189.7609966002947
9,20260729_095547.jpg,scene-0017,12,Her etiketsiz sahne grubundan bir temsilci,3000,4000,95.7272122701009,696.6364474370154
10,20260729_095603.jpg,scene-0018,5,Her etiketsiz sahne grubundan bir temsilci,3000,4000,102.85508982340495,562.271425409086
11,20260729_095638.jpg,scene-0019,8,Her etiketsiz sahne grubundan bir temsilci,3000,4000,95.435728708903,944.4272149465978
12,20260729_102330.jpg,scene-0026,1,Her etiketsiz sahne grubundan bir temsilci,3000,4000,86.41430918375652,270.6794620335937
13,20260729_102543.jpg,scene-0029,4,Her etiketsiz sahne grubundan bir temsilci,3000,4000,103.99663670857747,394.3812015215905
14,20260729_102612.jpg,scene-0030,2,Her etiketsiz sahne grubundan bir temsilci,3000,4000,88.34711456298828,149.88086280622372
15,20260729_102621.jpg,scene-0031,2,Her etiketsiz sahne grubundan bir temsilci,3000,4000,101.8520139058431,426.5229326323024
16,20260729_102808(0).jpg,scene-0032,17,Her etiketsiz sahne grubundan bir temsilci,3000,4000,97.01475143432617,372.3349238044015
17,20260729_102859(0).jpg,scene-0034,51,Her etiketsiz sahne grubundan bir temsilci,3000,4000,96.76846313476562,294.67068807384766
18,20260729_102920.jpg,scene-0035,3,Her etiketsiz sahne grubundan bir temsilci,3000,4000,95.75553894042969,193.19427078090496
19,20260729_103554.jpg,scene-0037,13,Her etiketsiz sahne grubundan bir temsilci,3000,4000,94.07245635986328,495.18115067543494
20,20260729_103827.jpg,scene-0039,14,Her etiketsiz sahne grubundan bir temsilci,3060,4080,87.23436101277669,749.40719787462
21,20260729_103910.jpg,scene-0040,28,Her etiketsiz sahne grubundan bir temsilci,3000,4000,95.70665995279948,764.0398355318833
22,20260729_102908.jpg,scene-0034,51,Büyük sahne grubunda görünüm çeşitliliği için ikinci örnek,3000,4000,92.08345540364583,163.66233308252257
23,20260729_103856(0).jpg,scene-0040,28,Büyük sahne grubunda görünüm çeşitliliği için ikinci örnek,3000,4000,89.15795516967773,1660.1570445859695
24,20260729_095154.jpg,scene-0012,20,Büyük sahne grubunda görünüm çeşitliliği için ikinci örnek,3000,4000,101.65647379557292,324.8175791852004
25,20260729_102806.jpg,scene-0032,17,Büyük sahne grubunda görünüm çeşitliliği için ikinci örnek,3000,4000,96.60489654541016,314.0330000917117
26,20260729_103834.jpg,scene-0039,14,Büyük sahne grubunda görünüm çeşitliliği için ikinci örnek,3060,4080,82.16689046223958,889.1328094734085
27,20260729_103558.jpg,scene-0037,13,Büyük sahne grubunda görünüm çeşitliliği için ikinci örnek,3000,4000,92.44650522867839,78.39695451219767
28,20260729_095545(0).jpg,scene-0017,12,Büyük sahne grubunda görünüm çeşitliliği için ikinci örnek,3000,4000,101.26814397176106,919.7153877460299
29,20260729_095641.jpg,scene-0019,8,Büyük sahne grubunda görünüm çeşitliliği için ikinci örnek,3000,4000,101.65070978800456,1261.0227594445703
30,20260729_092402.jpg,scene-0001,6,Büyük sahne grubunda görünüm çeşitliliği için ikinci örnek,3000,4000,96.12934875488281,322.2275871485212
