scene_group,filename,annotation_status,split
scene-0001,20260729_092357.jpg,UNLABELED,unlabeled_pool
scene-0001,20260729_092359.jpg,UNLABELED,unlabeled_pool
scene-0001,20260729_092400.jpg,UNLABELED,unlabeled_pool
scene-0001,20260729_092402.jpg,UNLABELED,unlabeled_pool
scene-0001,20260729_092403.jpg,UNLABELED,unlabeled_pool
scene-0001,20260729_092404.jpg,UNLABELED,unlabeled_pool
scene-0002,20260729_092409.jpg,UNLABELED,unlabeled_pool
scene-0003,20260729_092430.jpg,UNLABELED,unlabeled_pool
scene-0003,20260729_092431.jpg,UNLABELED,unlabeled_pool
scene-0003,20260729_092432(0).jpg,OWNER_ACCEPTED,validation
scene-0003,20260729_092432.jpg,UNLABELED,unlabeled_pool
scene-0003,20260729_092433.jpg,UNLABELED,unlabeled_pool
scene-0003,20260729_092434.jpg,OWNER_ACCEPTED,validation
scene-0003,20260729_092435.jpg,UNLABELED,unlabeled_pool
scene-0003,20260729_092436(0).jpg,UNLABELED,unlabeled_pool
scene-0003,20260729_092436.jpg,UNLABELED,unlabeled_pool
scene-0003,20260729_092437.jpg,OWNER_ACCEPTED,validation
scene-0003,20260729_092438.jpg,OWNER_ACCEPTED,validation
scene-0003,20260729_092439.jpg,UNLABELED,unlabeled_pool
scene-0003,20260729_092440.jpg,UNLABELED,unlabeled_pool
scene-0003,20260729_092441.jpg,OWNER_ACCEPTED,validation
scene-0003,20260729_092442.jpg,UNLABELED,unlabeled_pool
scene-0003,20260729_092443.jpg,UNLABELED,unlabeled_pool
scene-0003,20260729_092444.jpg,OWNER_ACCEPTED,validation
scene-0003,20260729_092446(0).jpg,OWNER_ACCEPTED,validation
scene-0003,20260729_092446.jpg,UNLABELED,unlabeled_pool
scene-0003,20260729_092447.jpg,OWNER_ACCEPTED,validation
scene-0003,20260729_092448(0).jpg,UNLABELED,unlabeled_pool
scene-0003,20260729_092448.jpg,UNLABELED,unlabeled_pool
scene-0003,20260729_092449.jpg,OWNER_ACCEPTED,validation
scene-0004,20260729_092508.jpg,UNLABELED,unlabeled_pool
scene-0004,20260729_092509.jpg,UNLABELED,unlabeled_pool
scene-0005,20260729_092516.jpg,OWNER_ACCEPTED,train
scene-0006,20260729_092521.jpg,UNLABELED,unlabeled_pool
scene-0006,20260729_092524.jpg,UNLABELED,unlabeled_pool
scene-0007,20260729_092528.jpg,UNLABELED,unlabeled_pool
scene-0008,20260729_092532.jpg,UNLABELED,unlabeled_pool
scene-0009,20260729_092621.jpg,OWNER_ACCEPTED,train
scene-0009,20260729_092622.jpg,OWNER_ACCEPTED,train
scene-0009,20260729_092623.jpg,UNLABELED,unlabeled_pool
scene-0010,20260729_092642.jpg,UNLABELED,unlabeled_pool
scene-0010,20260729_092643.jpg,UNLABELED,unlabeled_pool
