filename,scene_group,split,annotation_instances,annotation_version,dataset_version
20260729_092432(0).jpg,scene-0003,validation,22,cvat_task_2_2026-07-31_owner_accepted,steel_billet_local_2026-07-31_v2
20260729_092434.jpg,scene-0003,validation,16,cvat_task_2_2026-07-31_owner_accepted,steel_billet_local_2026-07-31_v2
20260729_092437.jpg,scene-0003,validation,11,cvat_task_2_2026-07-31_owner_accepted,steel_billet_local_2026-07-31_v2
20260729_092438.jpg,scene-0003,validation,9,cvat_task_2_2026-07-31_owner_accepted,steel_billet_local_2026-07-31_v2
20260729_092441.jpg,scene-0003,validation,22,cvat_task_2_2026-07-31_owner_accepted,steel_billet_local_2026-07-31_v2
20260729_092444.jpg,scene-0003,validation,16,cvat_task_2_2026-07-31_owner_accepted,steel_billet_local_2026-07-31_v2
20260729_092446(0).jpg,scene-0003,validation,18,cvat_task_2_2026-07-31_owner_accepted,steel_billet_local_2026-07-31_v2
20260729_092447.jpg,scene-0003,validation,14,cvat_task_2_2026-07-31_owner_accepted,steel_billet_local_2026-07-31_v2
20260729_092449.jpg,scene-0003,validation,13,cvat_task_2_2026-07-31_owner_accepted,steel_billet_local_2026-07-31_v2
20260729_092516.jpg,scene-0005,train,1,cvat_task_2_2026-07-31_owner_accepted,steel_billet_local_2026-07-31_v2
20260729_092621.jpg,scene-0009,train,10,cvat_task_2_2026-07-31_owner_accepted,steel_billet_local_2026-07-31_v2
20260729_092622.jpg,scene-0009,train,10,cvat_task_2_2026-07-31_owner_accepted,steel_billet_local_2026-07-31_v2
20260729_092644.jpg,scene-0010,train,7,cvat_task_2_2026-07-31_owner_accepted,steel_billet_local_2026-07-31_v2
20260729_095134.jpg,scene-0011,train,24,cvat_task_2_2026-07-31_owner_accepted,steel_billet_local_2026-07-31_v2
20260729_095136(0).jpg,scene-0011,train,25,cvat_task_2_2026-07-31_owner_accepted,steel_billet_local_2026-07-31_v2
20260729_095139(0).jpg,scene-0011,train,26,cvat_task_2_2026-07-31_owner_accepted,steel_billet_local_2026-07-31_v2
20260729_095144(0).jpg,scene-0011,train,17,cvat_task_2_2026-07-31_owner_accepted,steel_billet_local_2026-07-31_v2
20260729_095322(0).jpg,scene-0013,test,6,cvat_task_2_2026-07-31_owner_accepted,steel_billet_local_2026-07-31_v2
20260729_095328.jpg,scene-0014,train,4,cvat_task_2_2026-07-31_owner_accepted,steel_billet_local_2026-07-31_v2
20260729_095329.jpg,scene-0014,train,4,cvat_task_2_2026-07-31_owner_accepted,steel_billet_local_2026-07-31_v2
20260729_095330(0).jpg,scene-0014,train,4,cvat_task_2_2026-07-31_owner_accepted,steel_billet_local_2026-07-31_v2
20260729_095340.jpg,scene-0014,train,8,cvat_task_2_2026-07-31_owner_accepted,steel_billet_local_2026-07-31_v2
20260729_095341.jpg,scene-0014,train,12,cvat_task_2_2026-07-31_owner_accepted,steel_billet_local_2026-07-31_v2
20260729_095344.jpg,scene-0014,train,10,cvat_task_2_2026-07-31_owner_accepted,steel_billet_local_2026-07-31_v2
20260729_095347(0).jpg,scene-0014,train,7,cvat_task_2_2026-07-31_owner_accepted,steel_billet_local_2026-07-31_v2
20260729_095354.jpg,scene-0014,train,10,cvat_task_2_2026-07-31_owner_accepted,steel_billet_local_2026-07-31_v2
